gene,condition,well_replicate,Cp,Cp_flag,Cp_ACTB,Cp_ACTB_flag,delta_Ct
PSEN2,H2O2-induced AD model + Vorinostat,1,33.51,detected,23.54,,9.970
PSEN2,H2O2-induced AD model + Vorinostat,2,32.78,detected,20.89,,11.890
MAPT,Mature neuron,1,,not_detected,26.52,,
MAPT,Mature neuron,2,35.00,at_cutoff_Cq35,22.54,,12.460
MAPT,H2O2-induced AD model,1,,not_detected,29.81,,
MAPT,H2O2-induced AD model,2,35.00,at_cutoff_Cq35,24.52,,10.480
MAPT,H2O2-induced AD model + Vorinostat,1,,not_detected,23.54,,
MAPT,H2O2-induced AD model + Vorinostat,2,,not_detected,20.89,,
ACTB,Mature neuron,1,26.52,detected,26.52,,
ACTB,Mature neuron,2,22.54,detected,22.54,,
ACTB,H2O2-induced AD model,1,29.81,detected,29.81,,
ACTB,H2O2-induced AD model,2,24.52,detected,24.52,,
ACTB,H2O2-induced AD model + Vorinostat,1,23.54,detected,23.54,,
ACTB,H2O2-induced AD model + Vorinostat,2,20.89,detected,20.89,,
